Prompt,Generated Recipe
"Generate a dairy-free recipe for lunch with yogurt, chickpeas, spinach, carrot, avoiding lentils.","Dish: Ingredients: yogurt, chickpeas, spinach, carrot. Instructions: Combine yogurt, chickpeas, spinach, add carrot, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with ginger, olive oil, tomato, spinach, avoiding lentils.","Dish: Ingredients: ginger, olive oil, tomato, spinach. Instructions: Combine ginger, olive oil, tomato, add spinach, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with cucumber, potato, tofu, breadcrumbs, avoiding parmesan.","Dish: Ingredients: cucumber, potato, tofu, breadcrumbs. Instructions: Combine cucumber, potato, tofu, add breadcrumbs, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with lentils, basil, spinach, onion, avoiding tomato.","Dish: Ingredients: lentils, basil, spinach, onion. Instructions: Combine lentils, basil, spinach, add onion, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with basil, lemongrass, pasta, breadcrumbs, avoiding eggplant.","Dish: Ingredients: basil, lemongrass, pasta, breadcrumbs. Instructions: Combine basil, lemongrass, pasta, add breadcrumbs, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with garlic, basil, bell peppers, yogurt, avoiding lemongrass.","Dish: Ingredients: garlic, basil, bell peppers, yogurt. Instructions: Combine garlic, basil, bell peppers, add yogurt, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with onion, eggplant, chickpeas, lemongrass, avoiding spinach.","Dish: Ingredients: onion, eggplant, chickpeas, lemongrass. Instructions: Combine onion, eggplant, chickpeas, add lemongrass, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with tofu, rice, chickpeas, potato, avoiding yogurt.","Dish: Ingredients: tofu, rice, chickpeas, potato. Instructions: Combine tofu, rice, chickpeas, add potato, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with olive oil, cucumber, soy sauce, carrot, avoiding lemongrass.","Dish: Ingredients: olive oil, cucumber, soy sauce, carrot. Instructions: Combine olive oil, cucumber, soy sauce, add carrot, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with bell peppers, onion, parmesan, sesame seeds, avoiding cashews.","Dish: Ingredients: bell peppers, onion, parmesan, sesame seeds. Instructions: Combine bell peppers, onion, parmesan, add sesame seeds, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with lentils, olive oil, mushrooms, chickpeas, avoiding yogurt.","Dish: Ingredients: lentils, olive oil, mushrooms, chickpeas. Instructions: Combine lentils, olive oil, mushrooms, add chickpeas, cook thoroughly, and serve hot."
